group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
all,0.14,wor-active,1.278392425821631,0.0036388372201141862,4.256561652427203,0.011313911191464592,0.947,0.007088105617246489,0.01964792698621745,2.3587731637180463e-05
all,0.14,wor-uniform,1.0,0.0,3.336456851200356,0.005886071819332947,0.963,0.005972157622389639,0.02216003406047816,1.5508492047984556e-05
all,0.15,bernoulli-active,0.8549181613433999,0.0018578540242244577,2.877439885575066,0.005824120833764665,0.977,0.004742730594656784,0.023042201027274084,2.0176052236126572e-05
all,0.15,bernoulli-uniform,0.7242804728045337,0.0012801918137992042,2.4377298117230506,0.0038406056159675287,0.971,0.005309160685756948,0.025018890291452357,1.455782326324904e-05
all,0.15,classical,0.2974351886809225,0.0005003585358412629,1.0,0.0,0.966,0.0057338361396953854,0.03903759105503554,2.1330854086344767e-05
all,0.15,cross-ppi,0.6978352070222983,0.0011863256291955477,2.3487952053441385,0.0035702415051353156,0.971,0.005309160685756948,0.025486380796778448,1.361326435961717e-05
all,0.15,wor-active,1.2785449073338069,0.0035339248165964813,4.303141410578629,0.011345386243722676,0.947,0.007088105617246489,0.01886142380535598,2.2214309930924283e-05
all,0.15,wor-uniform,1.0,0.0,3.3715136036433804,0.005631666712646557,0.944,0.007274401481697097,0.021276602894067714,1.392446202179041e-05
all,0.16,bernoulli-active,0.8397196192308701,0.0016935607004599966,2.848763527248301,0.0054831719801616274,0.993,0.0026377941462437807,0.022411729395389508,1.7873713605775155e-05
all,0.16,bernoulli-uniform,0.7103332081490842,0.0011971583177520988,2.409660294140637,0.00366506384769296,0.975,0.004939574819698493,0.024356016844510983,1.3456244141541227e-05
all,0.16,classical,0.2951028080327925,0.0004828642006417585,1.0,0.0,0.963,0.005972157622389639,0.03778549639880653,1.9742579013721428e-05
all,0.16,cross-ppi,0.6812626453097667,0.001105586021435677,2.3111390986113465,0.003441586408632231,0.972,0.00521950603441008,0.02486859716790339,1.3017072428468523e-05
all,0.16,wor-active,1.2868232766930816,0.003382476485818302,4.365494094258703,0.011116550877437913,0.947,0.007088105617246489,0.018122532531619023,2.0402205232143677e-05
all,0.16,wor-uniform,1.0,0.0,3.397678338426486,0.00554041329746707,0.954,0.006627814717380679,0.02051396690309043,1.2934298372301113e-05
all,0.17,bernoulli-active,0.8235444693388254,0.001671845312260726,2.810015699094311,0.005171608167586387,0.983,0.004089954489689063,0.021865729048848103,1.7101474116084467e-05
all,0.17,bernoulli-uniform,0.6969082902470203,0.0011306077942616365,2.3781998420950896,0.0034774518787396465,0.98,0.004429403980178328,0.02375665421783919,1.244782504651815e-05
all,0.17,classical,0.29331451765193745,0.0004515091956970883,1.0,0.0,0.967,0.005651808820452346,0.03661588893830772,1.7883925846927476e-05
all,0.17,cross-ppi,0.6664114506495336,0.0010598250677679689,2.2740542807375608,0.0032055806558557508,0.981,0.0043194510829106135,0.024293181282783214,1.1902209800175031e-05
all,0.17,wor-active,1.2934022873125353,0.0033946139331833512,4.413036897923226,0.010907750758302553,0.946,0.007150883521295473,0.017466119349002787,2.0159182463739926e-05
all,0.17,wor-uniform,1.0,0.0,3.4173567185505016,0.005245138796198462,0.958,0.006346359293033785,0.019820356100797604,1.2260319498298123e-05
all,0.18,bernoulli-active,0.804715178905215,0.0015360574268136371,2.765131655683694,0.00494298122895883,0.985,0.0038457495745029724,0.021369746640324545,1.6085466212158874e-05
all,0.18,bernoulli-uniform,0.6807091850326553,0.001090729821965921,2.338583723267465,0.003085783268163387,0.982,0.00420638724961144,0.023224915921688034,1.1446305719972226e-05
all,0.18,classical,0.29130944785032986,0.00045363690781304657,1.0,0.0,0.959,0.006273624021118764,0.035500779122114134,1.690776441875878e-05
all,0.18,cross-ppi,0.6491279787629518,0.0009956486897360962,2.230381764644059,0.0029777293064822178,0.981,0.0043194510829106135,0.023781456795614195,1.0901742933241881e-05
all,0.18,wor-active,1.2941683109016728,0.003120605415978755,4.446782781462651,0.010189194142554533,0.954,0.006627814717380679,0.01686427630484099,1.750442238456501e-05
all,0.18,wor-uniform,1.0,0.0,3.4410931916214373,0.005360664364733304,0.948,0.00702462421381709,0.019150510996580078,1.141480260144845e-05
all,0.19,bernoulli-active,0.7839310720206916,0.0014800030519981852,2.714980936886222,0.004814369134242925,0.992,0.0028185003005044974,0.02094520922005172,1.5329993969939954e-05
all,0.19,bernoulli-uniform,0.6661868984818663,0.000991516700504444,2.3072628922684846,0.0031486000252408464,0.985,0.0038457495745029724,0.0227097503393888,1.0801429352810883e-05
all,0.19,classical,0.28900445403435937,0.00043150443406906924,1.0,0.0,0.966,0.0057338361396953854,0.0344794009327888,1.6397726074924433e-05
