group,prop_budget,method,ess_multiplier,ess_multiplier_serr,ess_multiplier_vs_classical,ess_multiplier_vs_classical_serr,coverage,coverage_serr,mean_width,mean_width_serr
non-phosphorylated,0.12,classical,0.3328893996115974,0.0019325896248063,1.0,0.0,0.947,0.007088105617246489,0.05592720308527346,0.00010099146592469089
non-phosphorylated,0.12,wor-active,1.3812258492957858,0.017173050895265787,4.198113239714086,0.049977076068912524,0.93,0.008072494358323525,0.028396704956889108,0.00013516640752374203
non-phosphorylated,0.12,wor-uniform,1.0,0.0,3.1046137485095175,0.01796981967170644,0.959,0.006273624021118764,0.032028102785348844,7.063380638967517e-05
non-phosphorylated,0.13,bernoulli-active,0.8893222801237484,0.0077105042624037515,2.7352761351804142,0.022839335258350104,0.97,0.0053971408290991564,0.03318002730607982,0.00011751522489877043
non-phosphorylated,0.13,bernoulli-uniform,0.7422592700539122,0.004329053541094644,2.2805157961121636,0.011965166166478237,0.972,0.00521950603441008,0.03582365565747018,6.75684840179615e-05
non-phosphorylated,0.13,classical,0.32952627002341706,0.001855216378795348,1.0,0.0,0.961,0.006125072776426131,0.05371998038142915,8.948578273072259e-05
non-phosphorylated,0.13,wor-active,1.390799947718269,0.016133636166764262,4.260196926662581,0.046873081557593475,0.927,0.008230354715243976,0.026955602787435005,0.00012226862468808335
non-phosphorylated,0.13,wor-uniform,1.0,0.0,3.1326512053355358,0.017999826244634202,0.944,0.007274401481697098,0.03062717924267049,6.749779191999394e-05
non-phosphorylated,0.14,bernoulli-active,0.8725754964641025,0.007048279991400322,2.711636985539834,0.021042622963913425,0.978,0.0046408552592746895,0.032074631921946956,0.00010684836810277826
non-phosphorylated,0.14,bernoulli-uniform,0.7278834892833486,0.0040035710391800395,2.2604060438466456,0.01107034601638369,0.981,0.0043194510829106135,0.03469768846034999,6.279870311659379e-05
non-phosphorylated,0.14,classical,0.32547065599120184,0.0017097341173115872,1.0,0.0,0.959,0.006273624021118765,0.05183952633664007,8.435445337369254e-05
non-phosphorylated,0.14,wor-active,1.4007169749738206,0.01609555195682616,4.350315591319551,0.04866379831107797,0.928,0.008178195576218687,0.025728881254792165,0.00011452912726204126
non-phosphorylated,0.14,wor-uniform,1.0,0.0,3.1593262802382864,0.017020800179937266,0.96,0.006199874066337029,0.029392850421369025,5.9683947685033385e-05
non-phosphorylated,0.15,bernoulli-active,0.8404454997824079,0.00637946607192607,2.6253956697876997,0.01816631611780927,0.991,0.0029879638431426726,0.031310441821813535,9.700223709313299e-05
non-phosphorylated,0.15,bernoulli-uniform,0.7110457435993635,0.003828652811449048,2.2234158309724883,0.010602529235106795,0.976,0.004842256441727085,0.03370648682117458,5.9208765922323286e-05
non-phosphorylated,0.15,classical,0.32268575423956747,0.0015750719408045542,1.0,0.0,0.959,0.006273624021118765,0.04995959884673352,7.587393836170004e-05
non-phosphorylated,0.15,wor-active,1.3616824230425955,0.014578555826877367,4.266687750891116,0.04566682898290229,0.947,0.007088105617246489,0.024972054414451075,0.00010591109147884464
non-phosphorylated,0.15,wor-uniform,1.0,0.0,3.1752378170350326,0.01600186211102441,0.952,0.006763264133666652,0.028231617890298318,5.530411887875691e-05
non-phosphorylated,0.16,bernoulli-active,0.8284152935440348,0.005728576263781519,2.613562822807408,0.017509179795599673,0.975,0.004939574819698492,0.030328362427651835,8.835955125315646e-05
non-phosphorylated,0.16,bernoulli-uniform,0.6919636489054881,0.0034811158881756315,2.1796730735998993,0.009368639271723036,0.981,0.0043194510829106135,0.032904234252870035,5.3077545142229935e-05
non-phosphorylated,0.16,classical,0.31998104850437703,0.0015119115795071507,1.0,0.0,0.962,0.0060491811505849775,0.0483488482534885,7.209658842899814e-05
non-phosphorylated,0.16,wor-active,1.3663164421424492,0.014068934297647802,4.306262929594049,0.043327698774607945,0.943,0.007335175853706905,0.023997190691530654,9.976593508717934e-05
non-phosphorylated,0.16,wor-uniform,1.0,0.0,3.1975708190022494,0.015676939162376634,0.943,0.007335175853706906,0.02721523007750506,5.212496787526497e-05
non-phosphorylated,0.17,bernoulli-active,0.8024608625294961,0.0055503276666035205,2.557197293571516,0.016660155509714916,0.976,0.004842256441727085,0.029777119465172246,8.559520348992868e-05
non-phosphorylated,0.17,bernoulli-uniform,0.6811684444328346,0.003318698423026415,2.172061771641054,0.00960871482925477,0.98,0.004429403980178328,0.032039148837327905,5.1445278176822214e-05
non-phosphorylated,0.17,classical,0.3163567610223321,0.0014785454683892171,1.0,0.0,0.965,0.005814534272734904,0.04698141780495639,6.650042810378433e-05
non-phosphorylated,0.17,wor-active,1.3780113631256723,0.013237735910891578,4.394346625423257,0.04156765080903722,0.943,0.007335175853706906,0.02301328331232066,9.090420170207156e-05
non-phosphorylated,0.17,wor-uniform,1.0,0.0,3.2321843806407076,0.015589520106632527,0.944,0.007274401481697097,0.026298998676240398,4.8776827731139566e-05
non-phosphorylated,0.18,bernoulli-active,0.7841570466087151,0.005420357530834925,2.5083825729613456,0.015894321448644565,0.989,0.003299983316607812,0.029041318774223283,7.871247600759544e-05
non-phosphorylated,0.18,bernoulli-uniform,0.6584492359776246,0.003056224799429643,2.109209908634869,0.008542077289066108,0.988,0.0034449771940998205,0.03140883764624591,4.505910696220709e-05
non-phosphorylated,0.18,classical,0.31468471184859903,0.0014558006097867037,1.0,0.0,0.966,0.0057338361396953854,0.04542811280488963,6.376172654997099e-05
non-phosphorylated,0.18,wor-active,1.363813765428176,0.01253709271670363,4.37241313615535,0.03923741482310719,0.937,0.00768700787628646,0.022271120592951728,8.550856481267685e-05
non-phosphorylated,0.18,wor-uniform,1.0,0.0,3.246621632248121,0.015322818984947294,0.943,0.007335175853706906,0.02536574722826476,4.6171972432074286e-05
non-phosphorylated,0.19,bernoulli-active,0.7616557052391721,0.00509578110220257,2.4640453330083334,0.015243478875259541,0.981,0.0043194510829106135,0.028556616947054816,7.627060166761939e-05
non-phosphorylated,0.19,bernoulli-uniform,0.6472604164880601,0.0028628539702007993,2.095078793747162,0.007954551761871867,0.984,0.003969856390319399,0.03071695476770396,4.2259789709812934e-05
non-phosphorylated,0.19,classical,0.3111629811427721,0.0013767035099984597,1.0,0.0,0.971,0.005309160685756948,0.044298363193869546,5.8477354539335955e-05
non-phosphorylated,0.19,wor-active,1.3738024509967999,0.011987925801993472,4.448201694763785,0.03808920987735615,0.93,0.008072494358323527,0.021498489402234505,8.232118526108752e-05
non-phosphorylated,0.19,wor-uniform,1.0,0.0,3.278094538374483,0.01488765934649246,0.942,0.0073953154557929906,0.02460477723926301,4.239207113197181e-05
non-phosphorylated,0.2,bernoulli-active,0.7396945324957375,0.004717258542897324,2.4339526446651956,0.014579451460037847,0.98,0.004429403980178328,0.028011172235012004,7.292524881245237e-05
non-phosphorylated,0.2,bernoulli-uniform,0.6338257165860878,0.0027565386253755445,2.0855188131295535,0.007839564006113908,0.986,0.003717232548256541,0.0300276973098516,3.917508050075599e-05
non-phosphorylated,0.2,classical,0.30592033028631227,0.001293377603082718,1.0,0.0,0.966,0.0057338361396953854,0.043211495511233766,5.617510825837667e-05
non-phosphorylated,0.2,wor-active,1.3534276057494092,0.01144010106095313,4.456849613122157,0.037444822875919305,0.939,0.007572076091557476,0.020915958538651417,7.539558516226198e-05
non-phosphorylated,0.2,wor-uniform,1.0,0.0,3.327697223475993,0.014206324322831324,0.945,0.0072129762946392005,0.023806904532015272,3.94636343646036e-05
phosphorylated,0.01,bernoulli-active,1.9524548177092815,0.05891017850505022,8.700577871164262,0.23369613564097358,0.898,0.009575368801653944,0.10150139684230085,0.001273395038322357
phosphorylated,0.01,bernoulli-uniform,1.1241559520709457,0.03054827055010864,5.020125416005892,0.1062514173444269,0.943,0.007335175853706905,0.1148493420258164,0.0007818523896837313
phosphorylated,0.01,classical,0.24089174924044496,0.0040903224562793,1.0,0.0,0.957,0.0064181143797997385,0.2349141559153795,0.0010107733520391458
phosphorylated,0.01,wor-active,inf,,inf,,0.864,0.01084535023047304,0.09596337287873026,0.0012468879499963
phosphorylated,0.01,wor-uniform,1.0,0.0,5.804423694057984,0.18142591487139978,0.93,0.008072494358323525,0.10931640489399429,0.0007666676040909831
phosphorylated,0.02,bernoulli-active,1.4394067395212429,0.03103625109410605,6.565786062061031,0.13573579946713618,0.918,0.00868051561552373,0.07437207978963847,0.000648695891624982
phosphorylated,0.02,bernoulli-uniform,0.9625175302847441,0.013258856779601355,4.349426867502561,0.05118009618827972,0.952,0.006763264133666652,0.08361886713653799,0.00038021363613997047
phosphorylated,0.02,classical,0.22874584818263496,0.0025773614742409827,1.0,0.0,0.948,0.00702462421381709,0.16806214926391838,0.0005032462271474169
phosphorylated,0.02,wor-active,inf,,inf,,0.9,0.00949157995752499,0.07125629718601699,0.0006720128809448642
phosphorylated,0.02,wor-uniform,1.0,0.0,4.978805726342777,0.06218242090587965,0.928,0.008178195576218687,0.07845368284732099,0.0003690316576145969
phosphorylated,0.03,bernoulli-active,1.2273459457010902,0.02177768571844276,5.423974728885427,0.0884435461658538,0.94,0.007513751157474972,0.06344255709648128,0.00042613127138981893
phosphorylated,0.03,bernoulli-uniform,0.9221227380014,0.010372503466834711,4.078243959888524,0.03852537987364061,0.94,0.007513751157474972,0.06943131045997139,0.00025410236898289776
phosphorylated,0.03,classical,0.2313547522939046,0.002097393143655958,1.0,0.0,0.94,0.007513751157474971,0.13683976546674964,0.00033998764543723657
phosphorylated,0.03,wor-active,1.5262240011368506,0.03204313418270894,6.768867353037108,0.13461469313422164,0.915,0.008823426366942317,0.05826755593717094,0.0004389849713875107
phosphorylated,0.03,wor-uniform,1.0,0.0,4.69640994405617,0.04543996305641624,0.94,0.007513751157474972,0.06474737633764739,0.00023973937099043224
phosphorylated,0.04,bernoulli-active,1.1315664882227616,0.015508893115316153,4.973117611548847,0.06347185605916432,0.958,0.006346359293033784,0.05593158586323257,0.0003181113201018558
phosphorylated,0.04,bernoulli-uniform,0.8859822040465971,0.008050437448867019,3.896859000145963,0.029984969234936442,0.955,0.006558812241406064,0.06104416619241233,0.00018435451138793072
phosphorylated,0.04,classical,0.2312599885014488,0.0017344525560763835,1.0,0.0,0.937,0.007687007876286461,0.11855415675044055,0.0002545577904083989
phosphorylated,0.04,wor-active,1.445678798346539,0.024852022765450194,6.374659143229118,0.10318704373291841,0.917,0.008728527206074758,0.0504878205955028,0.0003254023313357873
phosphorylated,0.04,wor-uniform,1.0,0.0,4.579484115530078,0.036378718174694284,0.943,0.007335175853706906,0.05635482586920257,0.00017334780089106974
phosphorylated,0.05,bernoulli-active,1.050685886626657,0.012439157524597398,4.734877203194131,0.05454353686655373,0.959,0.006273624021118764,0.05095937959849829,0.000251699346706501
phosphorylated,0.05,bernoulli-uniform,0.8593590395335758,0.0067809635974834725,3.8491829767415773,0.024491818646903016,0.971,0.005309160685756948,0.05490395878255362,0.00013872408064805386
phosphorylated,0.05,classical,0.22622067952210761,0.0015467302868982862,1.0,0.0,0.954,0.006627814717380679,0.10649009202420708,0.00019401970903649938
phosphorylated,0.05,wor-active,1.4076024684621473,0.020803013826474644,6.294311038062493,0.0880911748884801,0.924,0.008384169266796462,0.04489513336122031,0.0002598508336889236
phosphorylated,0.05,wor-uniform,1.0,0.0,4.638594244204952,0.03373966609564693,0.947,0.007088105617246489,0.050180580481886825,0.00014363634029284893
phosphorylated,0.06,bernoulli-active,1.0296864536654553,0.01080555785741905,4.609725784580519,0.04762913473064135,0.958,0.006346359293033785,0.04661152718961234,0.00020808544458187627
phosphorylated,0.06,bernoulli-uniform,0.8366026823348973,0.005882097522927349,3.734416921315144,0.0229761698330107,0.969,0.005483527064679181,0.0506223667711019,0.00012000751772342394
phosphorylated,0.06,classical,0.2272844476166991,0.0014502970314236305,1.0,0.0,0.941,0.007454835650406691,0.09679799670726057,0.00016835198851043327
phosphorylated,0.06,wor-active,1.392374897279168,0.018313663336637916,6.215792189763179,0.07961440612410643,0.924,0.008384169266796462,0.040759344860911324,0.00021851997858640318
phosphorylated,0.06,wor-uniform,1.0,0.0,4.5808576312258635,0.03002394781690571,0.937,0.00768700787628646,0.045769080221652936,0.00011632115300488984
phosphorylated,0.07,bernoulli-active,0.9638202927680132,0.009137348588280305,4.3611814768538215,0.037311103741476656,0.978,0.0046408552592746895,0.04397517082095141,0.00017146497437264143
phosphorylated,0.07,bernoulli-uniform,0.8080764388513291,0.005058463601799063,3.6594692600881285,0.01868933891574512,0.96,0.006199874066337029,0.047209812730550714,9.691953149936295e-05
phosphorylated,0.07,classical,0.2228993861820737,0.00126150144239567,1.0,0.0,0.96,0.006199874066337029,0.0896420229747891,0.00013472832098959642
phosphorylated,0.07,wor-active,1.3488547246059936,0.01642523806619467,6.106058463836408,0.07019782410815008,0.946,0.007150883521295472,0.03774611435830588,0.00018486799100392965
phosphorylated,0.07,wor-uniform,1.0,0.0,4.633601971683862,0.02688883641527317,0.945,0.0072129762946392005,0.042056682094931554,9.990419471914364e-05
phosphorylated,0.08,bernoulli-active,0.9384908986242985,0.00831115798982154,4.259629901234131,0.03354288199166719,0.972,0.00521950603441008,0.04143198861181731,0.00014962508505781107
phosphorylated,0.08,bernoulli-uniform,0.7851210413493971,0.0048022373650494264,3.5675343798854313,0.017144062734762412,0.977,0.0047427305946567844,0.04464536006748672,8.568066368609989e-05
phosphorylated,0.08,classical,0.2216299321786216,0.0011837464492634898,1.0,0.0,0.954,0.006627814717380679,0.08378001397103067,0.00012157593011111199
