dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.025,87,0.0898945108056068,0.943490054249548,3.136830595381443
bbh+gpqa+ifeval+math+musr,,1.0,0.025,88,0.0900136679410934,0.948010849909584,3.122585380348154
bbh+gpqa+ifeval+math+musr,,1.0,0.025,89,0.0899062901735305,0.9299276672694394,3.121970721323226
bbh+gpqa+ifeval+math+musr,,1.0,0.025,90,0.0901261642575264,0.9448462929475588,3.117861944800018
bbh+gpqa+ifeval+math+musr,,1.0,0.025,91,0.0899569690227508,0.9493670886075948,3.128062545702107
bbh+gpqa+ifeval+math+musr,,1.0,0.025,92,0.09029570966959,0.9452983725135624,3.103264079948707
bbh+gpqa+ifeval+math+musr,,1.0,0.025,93,0.0901947319507598,0.9403254972875226,3.110471158781939
bbh+gpqa+ifeval+math+musr,,1.0,0.025,94,0.0898759141564369,0.9421338155515372,3.142304374052103
bbh+gpqa+ifeval+math+musr,,1.0,0.025,95,0.0903716385364532,0.9439421338155516,3.1008511863655577
bbh+gpqa+ifeval+math+musr,,1.0,0.025,96,0.0896768048405647,0.939873417721519,3.12972260157694
bbh+gpqa+ifeval+math+musr,,1.0,0.025,97,0.0899767950177192,0.9462025316455696,3.1256868513952107
bbh+gpqa+ifeval+math+musr,,1.0,0.025,98,0.089906983077526,0.9425858951175408,3.1329561873707847
bbh+gpqa+ifeval+math+musr,,1.0,0.025,99,0.089831531047821,0.9326401446654612,3.1305511010677685
bbh+gpqa+ifeval+math+musr,,1.0,0.05,0,0.057272370904684,0.9466546112115732,3.7697266532884743
bbh+gpqa+ifeval+math+musr,,1.0,0.05,1,0.0572662763297557,0.9466546112115732,3.773864088471448
bbh+gpqa+ifeval+math+musr,,1.0,0.05,2,0.0569069162011146,0.9489150090415912,3.8111019303126907
bbh+gpqa+ifeval+math+musr,,1.0,0.05,3,0.0573480278253555,0.9443942133815552,3.761982223905026
bbh+gpqa+ifeval+math+musr,,1.0,0.05,4,0.0572671666741371,0.9425858951175408,3.772108672439272
bbh+gpqa+ifeval+math+musr,,1.0,0.05,5,0.0571381151676178,0.9448462929475588,3.7813107928065812
bbh+gpqa+ifeval+math+musr,,1.0,0.05,6,0.057246271520853,0.9452983725135624,3.7646599631119937
bbh+gpqa+ifeval+math+musr,,1.0,0.05,7,0.0572035610675811,0.9412296564195298,3.7810397915475598
bbh+gpqa+ifeval+math+musr,,1.0,0.05,8,0.0571106784045696,0.9389692585895116,3.7868359478278864
bbh+gpqa+ifeval+math+musr,,1.0,0.05,9,0.0570224970579147,0.9452983725135624,3.789230786270619
bbh+gpqa+ifeval+math+musr,,1.0,0.05,10,0.0574161671102047,0.9443942133815552,3.750552931901876
bbh+gpqa+ifeval+math+musr,,1.0,0.05,11,0.0573339648544788,0.951627486437613,3.759031279925964
bbh+gpqa+ifeval+math+musr,,1.0,0.05,12,0.0572966672480106,0.9394213381555152,3.765268035714088
bbh+gpqa+ifeval+math+musr,,1.0,0.05,13,0.0572563037276268,0.940777576853526,3.773653885588101
bbh+gpqa+ifeval+math+musr,,1.0,0.05,14,0.0573764890432357,0.9511754068716094,3.744393467012603
bbh+gpqa+ifeval+math+musr,,1.0,0.05,15,0.0570580922067165,0.9534358047016276,3.792158100469095
bbh+gpqa+ifeval+math+musr,,1.0,0.05,16,0.0572909340262413,0.950271247739602,3.7616149849738862
bbh+gpqa+ifeval+math+musr,,1.0,0.05,17,0.0574098005890846,0.9511754068716094,3.7457564216777204
bbh+gpqa+ifeval+math+musr,,1.0,0.05,18,0.0573263689875602,0.9376130198915008,3.7543481625764343
bbh+gpqa+ifeval+math+musr,,1.0,0.05,19,0.0572508163750171,0.9475587703435804,3.7640839858273663
