dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage,ess_multiplier
bbh+gpqa+ifeval+math+musr,,1.0,0.05,58,0.0580331981182098,0.9475587703435804,3.677520904574495
bbh+gpqa+ifeval+math+musr,,1.0,0.05,59,0.0580636598169803,0.9507233273056056,3.6604979259325403
bbh+gpqa+ifeval+math+musr,,1.0,0.05,60,0.0575606413185596,0.9416817359855334,3.721028392542078
bbh+gpqa+ifeval+math+musr,,1.0,0.05,61,0.0578625239431858,0.9511754068716094,3.697437055751097
bbh+gpqa+ifeval+math+musr,,1.0,0.05,62,0.0577275678515434,0.9466546112115732,3.7053307053517117
bbh+gpqa+ifeval+math+musr,,1.0,0.05,63,0.0580688528716564,0.9452983725135624,3.6584550622159875
bbh+gpqa+ifeval+math+musr,,1.0,0.05,64,0.0577216744422912,0.9443942133815552,3.7045265256945643
bbh+gpqa+ifeval+math+musr,,1.0,0.05,65,0.0576407425105571,0.9498191681735986,3.711035256467411
bbh+gpqa+ifeval+math+musr,,1.0,0.05,66,0.0578325763344764,0.9462025316455696,3.6921317148721498
bbh+gpqa+ifeval+math+musr,,1.0,0.05,67,0.0580108277499675,0.9466546112115732,3.673356149349589
bbh+gpqa+ifeval+math+musr,,1.0,0.05,68,0.0578228086233139,0.945750452079566,3.6974751471871077
bbh+gpqa+ifeval+math+musr,,1.0,0.05,69,0.0576529167592525,0.9520795660036168,3.714253541924594
bbh+gpqa+ifeval+math+musr,,1.0,0.05,70,0.0579361133277416,0.9534358047016276,3.6867300199300974
bbh+gpqa+ifeval+math+musr,,1.0,0.05,71,0.0579677633941173,0.9511754068716094,3.6740193016111817
bbh+gpqa+ifeval+math+musr,,1.0,0.05,72,0.0576685816049575,0.9425858951175408,3.718104453859484
bbh+gpqa+ifeval+math+musr,,1.0,0.05,73,0.0578860193490982,0.9484629294755876,3.6842426130745127
bbh+gpqa+ifeval+math+musr,,1.0,0.05,74,0.0576903112232685,0.9475587703435804,3.713643855724283
bbh+gpqa+ifeval+math+musr,,1.0,0.05,75,0.0582241453230381,0.9466546112115732,3.6418258033737767
bbh+gpqa+ifeval+math+musr,,1.0,0.05,76,0.0577473379671573,0.9520795660036168,3.707010871034403
bbh+gpqa+ifeval+math+musr,,1.0,0.05,77,0.0578313469886779,0.955244122965642,3.6996105835911783
bbh+gpqa+ifeval+math+musr,,1.0,0.05,78,0.0580452755093574,0.948010849909584,3.6615667328323145
bbh+gpqa+ifeval+math+musr,,1.0,0.05,79,0.0577393919229507,0.9443942133815552,3.7058037247424265
bbh+gpqa+ifeval+math+musr,,1.0,0.05,80,0.0577028356492519,0.951627486437613,3.7085076940318404
bbh+gpqa+ifeval+math+musr,,1.0,0.05,81,0.0577568709850311,0.9466546112115732,3.698544074321815
bbh+gpqa+ifeval+math+musr,,1.0,0.05,82,0.0577636696398258,0.9534358047016276,3.702469428118054
