prop_budget,method,seed,width,coverage
0.0100,wor-active,861,0.03701162338256836,0.0
0.0100,wor-active,862,0.01905536651611328,0.0
0.0100,wor-active,863,0.018021106719970703,0.0
0.0100,wor-active,864,0.029485225677490234,0.0
0.0100,wor-active,865,0.02143383026123047,0.0
0.0100,wor-active,866,0.048320770263671875,0.0
0.0100,wor-active,867,0.027658700942993164,0.0
0.0100,wor-active,868,0.0379786491394043,0.0
0.0100,wor-active,869,0.03105008602142334,0.0
0.0100,wor-active,870,0.03149819374084473,0.0
0.0100,wor-active,871,0.03645145893096924,0.0
0.0100,wor-active,872,0.021161794662475586,0.0
0.0100,wor-active,873,0.024840831756591797,0.0
0.0100,wor-active,874,0.035051822662353516,0.0
0.0100,wor-active,875,0.03456389904022217,0.0
0.0100,wor-active,876,0.029108047485351562,0.0
0.0100,wor-active,877,0.02286696434020996,0.0
0.0100,wor-active,878,0.027601003646850586,0.0
0.0100,wor-active,879,0.022409915924072266,0.0
0.0100,wor-active,880,0.039833784103393555,0.0
0.0100,wor-active,881,0.022966861724853516,0.0
0.0100,wor-active,882,0.024701952934265137,0.0
0.0100,wor-active,883,0.024742841720581055,0.0
0.0100,wor-active,884,0.021696805953979492,1.0
0.0100,wor-active,885,0.016439199447631836,0.0
0.0100,wor-active,886,0.05177140235900879,0.0
0.0100,wor-active,887,0.021251440048217773,0.0
0.0100,wor-active,888,0.028858423233032227,0.0
0.0100,wor-active,889,0.04307723045349121,0.0
0.0100,wor-active,890,0.020420074462890625,0.0
0.0100,wor-active,891,0.03461885452270508,0.0
0.0100,wor-active,892,0.028986573219299316,0.0
0.0100,wor-active,893,0.02868509292602539,0.0
0.0100,wor-active,894,0.023521900177001953,0.0
0.0100,wor-active,895,0.03421783447265625,0.0
0.0100,wor-active,896,0.035775184631347656,0.0
0.0100,wor-active,897,0.014772176742553711,0.0
0.0100,wor-active,898,0.026227474212646484,0.0
0.0100,wor-active,899,0.0348508358001709,0.0
0.0100,wor-active,900,0.029480695724487305,0.0
0.0100,wor-active,901,0.028214216232299805,0.0
0.0100,wor-active,902,0.0331881046295166,0.0
0.0100,wor-active,903,0.03022933006286621,0.0
0.0100,wor-active,904,0.02102518081665039,0.0
0.0100,wor-active,905,0.033039093017578125,0.0
0.0100,wor-active,906,0.030282020568847656,0.0
0.0100,wor-active,907,0.022730231285095215,0.0
0.0100,wor-active,908,0.03919875621795654,0.0
0.0100,wor-active,909,0.03518509864807129,0.0
0.0100,wor-active,910,0.023299098014831543,0.0
0.0100,wor-active,911,0.02453780174255371,0.0
0.0100,wor-active,912,0.0415494441986084,0.0
0.0100,wor-active,913,0.04499554634094238,0.0
0.0100,wor-active,914,0.028510332107543945,0.0
0.0100,wor-active,915,0.03492236137390137,0.0
0.0100,wor-active,916,0.02503514289855957,0.0
0.0100,wor-active,917,0.026188373565673828,0.0
0.0100,wor-active,918,0.02266395092010498,0.0
0.0100,wor-active,919,0.02834177017211914,0.0
0.0100,wor-active,920,0.020421981811523438,0.0
0.0100,wor-active,921,0.04701721668243408,0.0
0.0100,wor-active,922,0.03408622741699219,0.0
0.0100,wor-active,923,0.03353524208068848,0.0
0.0100,wor-active,924,0.016130447387695312,0.0
0.0100,wor-active,925,0.026125073432922363,0.0
0.0100,wor-active,926,0.01793348789215088,0.0
0.0100,wor-active,927,0.03539466857910156,0.0
0.0100,wor-active,928,0.021840810775756836,0.0
0.0100,wor-active,929,0.04248988628387451,0.0
0.0100,wor-active,930,0.03317558765411377,0.0
0.0100,wor-active,931,0.05732440948486328,0.0
0.0100,wor-active,932,0.05663633346557617,0.0
0.0100,wor-active,933,0.029728293418884277,0.0
0.0100,wor-active,934,0.03626656532287598,0.0
0.0100,wor-active,935,0.028090953826904297,0.0
0.0100,wor-active,936,0.03696727752685547,0.0
0.0100,wor-active,937,0.018134236335754395,0.0
0.0100,wor-active,938,0.034945011138916016,0.0
0.0100,wor-active,939,0.01964116096496582,0.0
0.0100,wor-active,940,0.01741480827331543,0.0
0.0100,wor-active,941,0.04568290710449219,0.0
0.0100,wor-active,942,0.021552562713623047,0.0
0.0100,wor-active,943,0.02497684955596924,0.0
0.0100,wor-active,944,0.028485536575317383,0.0
0.0100,wor-active,945,0.04993939399719238,0.0
0.0100,wor-active,946,0.037102460861206055,0.0
0.0100,wor-active,947,0.04116177558898926,0.0
0.0100,wor-active,948,0.01264488697052002,0.0
0.0100,wor-active,949,0.03709149360656738,0.0
0.0100,wor-active,950,0.022498369216918945,0.0
0.0100,wor-active,951,0.02925431728363037,0.0
0.0100,wor-active,952,0.02700972557067871,0.0
0.0100,wor-active,953,0.020428180694580078,0.0
0.0100,wor-active,954,0.016763806343078613,0.0
0.0100,wor-active,955,0.03008580207824707,0.0
0.0100,wor-active,956,0.02295231819152832,0.0
0.0100,wor-active,957,0.06671357154846191,0.0
0.0100,wor-active,958,0.02294135093688965,0.0
0.0100,wor-active,959,0.02875351905822754,0.0
0.0100,wor-active,960,0.03889632225036621,0.0
0.0100,wor-active,961,0.020555734634399414,0.0
0.0100,wor-active,962,0.024538159370422363,0.0
0.0100,wor-active,963,0.023944854736328125,0.0
0.0100,wor-active,964,0.030614376068115234,0.0
0.0100,wor-active,965,0.03819894790649414,0.0
0.0100,wor-active,966,0.01784217357635498,0.0
0.0100,wor-active,967,0.0325770378112793,0.0
0.0100,wor-active,968,0.028145909309387207,0.0
0.0100,wor-active,969,0.034644365310668945,0.0
0.0100,wor-active,970,0.03517317771911621,0.0
0.0100,wor-active,971,0.023436546325683594,0.0
0.0100,wor-active,972,0.03519797325134277,0.0
0.0100,wor-active,973,0.027341604232788086,0.0
0.0100,wor-active,974,0.03388690948486328,0.0
0.0100,wor-active,975,0.01885080337524414,0.0
0.0100,wor-active,976,0.026317834854125977,0.0
0.0100,wor-active,977,0.023331642150878906,0.0
0.0100,wor-active,978,0.029111146926879883,0.0
0.0100,wor-active,979,0.03365588188171387,0.0
0.0100,wor-active,980,0.04152059555053711,0.0
0.0100,wor-active,981,0.031115293502807617,0.0
0.0100,wor-active,982,0.044647216796875,0.0
0.0100,wor-active,983,0.020107150077819824,0.0
0.0100,wor-active,984,0.031273841857910156,0.0
0.0100,wor-active,985,0.03645586967468262,0.0
0.0100,wor-active,986,0.02981877326965332,0.0
0.0100,wor-active,987,0.03629612922668457,0.0
0.0100,wor-active,988,0.02624797821044922,0.0
0.0100,wor-active,989,0.028734445571899414,0.0
0.0100,wor-active,990,0.036043643951416016,0.0
0.0100,wor-active,991,0.028397321701049805,0.0
0.0100,wor-active,992,0.033428311347961426,0.0
0.0100,wor-active,993,0.02866649627685547,0.0
0.0100,wor-active,994,0.029405593872070312,0.0
0.0100,wor-active,995,0.02650904655456543,0.0
0.0100,wor-active,996,0.03113698959350586,0.0
0.0100,wor-active,997,0.03667497634887695,0.0
0.0100,wor-active,998,0.03026759624481201,0.0
0.0100,wor-active,999,0.017118096351623535,0.0
0.0100,wor-uniform,666,0.03570818901062012,0.0
0.0100,wor-uniform,667,0.026300430297851562,0.0
0.0100,wor-uniform,668,0.03452014923095703,0.0
0.0100,wor-uniform,669,0.05439424514770508,0.0
0.0100,wor-uniform,670,0.036493897438049316,0.0
0.0100,wor-uniform,671,0.03312277793884277,0.0
0.0100,wor-uniform,672,0.038080453872680664,0.0
0.0100,wor-uniform,673,0.0503079891204834,0.0
0.0100,wor-uniform,674,0.03652834892272949,0.0
0.0100,wor-uniform,675,0.043527841567993164,0.0
0.0100,wor-uniform,676,0.04226207733154297,0.0
0.0100,wor-uniform,677,0.03181934356689453,0.0
0.0100,wor-uniform,678,0.04569649696350098,0.0
0.0100,wor-uniform,679,0.02801060676574707,0.0
0.0100,wor-uniform,680,0.02276921272277832,0.0
0.0100,wor-uniform,681,0.022829890251159668,0.0
0.0100,wor-uniform,682,0.07514023780822754,0.0
0.0100,wor-uniform,683,0.02938365936279297,0.0
0.0100,wor-uniform,684,0.035147905349731445,0.0
0.0100,wor-uniform,685,0.0325167179107666,0.0
0.0100,wor-uniform,686,0.024704933166503906,0.0
0.0100,wor-uniform,687,0.027149200439453125,0.0
0.0100,wor-uniform,688,0.0932931900024414,0.0
0.0100,wor-uniform,689,0.05236959457397461,0.0
0.0100,wor-uniform,690,0.04040670394897461,0.0
0.0100,wor-uniform,691,0.05968737602233887,0.0
0.0100,wor-uniform,692,0.0602114200592041,0.0
0.0100,wor-uniform,693,0.04503583908081055,0.0
0.0100,wor-uniform,694,0.08568882942199707,0.0
