prop_budget,method,seed,width,coverage
0.0100,bernoulli-active,494,2.1223700046539307,1.0
0.0100,bernoulli-active,495,2.062814235687256,1.0
0.0100,bernoulli-active,496,1.5815092325210571,1.0
0.0100,bernoulli-active,497,2.5644822120666504,1.0
0.0100,bernoulli-active,498,3.1354384422302246,1.0
0.0100,bernoulli-active,499,2.69102144241333,0.0
0.0100,bernoulli-active,500,2.26054048538208,1.0
0.0100,bernoulli-active,501,1.6949410438537598,1.0
0.0100,bernoulli-active,502,2.6954455375671387,1.0
0.0100,bernoulli-active,503,2.0582118034362793,1.0
0.0100,bernoulli-active,504,1.8470826148986816,1.0
0.0100,bernoulli-active,505,3.2002830505371094,1.0
0.0100,bernoulli-active,506,2.330766201019287,1.0
0.0100,bernoulli-active,507,2.129269599914551,1.0
0.0100,bernoulli-active,508,3.5762388706207275,1.0
0.0100,bernoulli-active,509,2.5032312870025635,1.0
0.0100,bernoulli-active,510,2.713994026184082,1.0
0.0100,bernoulli-active,511,1.4439895153045654,0.0
0.0100,bernoulli-active,512,1.8572906255722046,1.0
0.0100,bernoulli-active,513,1.1718355417251587,1.0
0.0100,bernoulli-active,514,2.9857611656188965,1.0
0.0100,bernoulli-active,515,3.055438280105591,1.0
0.0100,bernoulli-active,516,3.9885013103485107,1.0
0.0100,bernoulli-active,517,3.366335868835449,1.0
0.0100,bernoulli-active,518,5.5366363525390625,1.0
0.0100,bernoulli-active,519,1.710080623626709,1.0
0.0100,bernoulli-active,520,2.941354990005493,1.0
0.0100,bernoulli-active,521,3.2365756034851074,1.0
0.0100,bernoulli-active,522,3.650508403778076,1.0
0.0100,bernoulli-active,523,2.8962292671203613,1.0
0.0100,bernoulli-active,524,1.896644949913025,1.0
0.0100,bernoulli-active,525,2.635808229446411,1.0
0.0100,bernoulli-active,526,2.5526862144470215,1.0
0.0100,bernoulli-active,527,3.035970687866211,0.0
0.0100,bernoulli-active,528,3.0226402282714844,1.0
0.0100,bernoulli-active,529,1.8246172666549683,1.0
0.0100,bernoulli-active,530,1.9230520725250244,1.0
0.0100,bernoulli-active,531,1.8499962091445923,1.0
0.0100,bernoulli-active,532,2.1101651191711426,1.0
0.0100,bernoulli-active,533,4.085042953491211,1.0
0.0100,bernoulli-active,534,2.2313342094421387,1.0
0.0100,bernoulli-active,535,2.5595433712005615,1.0
0.0100,bernoulli-active,536,1.9178187847137451,1.0
0.0100,bernoulli-active,537,3.1574249267578125,1.0
0.0100,bernoulli-active,538,1.4785746335983276,1.0
0.0100,bernoulli-active,539,1.9298523664474487,1.0
0.0100,bernoulli-active,540,2.6122961044311523,1.0
0.0100,bernoulli-active,541,2.3417019844055176,1.0
0.0100,bernoulli-active,542,1.843271255493164,1.0
0.0100,bernoulli-active,543,1.5553990602493286,1.0
0.0100,bernoulli-active,544,2.379141330718994,1.0
0.0100,bernoulli-active,545,2.0243921279907227,1.0
0.0100,bernoulli-active,546,3.1092801094055176,1.0
0.0100,bernoulli-active,547,3.4692554473876953,0.0
0.0100,bernoulli-active,548,1.0962719917297363,1.0
0.0100,bernoulli-active,549,1.895509123802185,1.0
0.0100,bernoulli-active,550,2.320857048034668,1.0
0.0100,bernoulli-active,551,2.266042947769165,1.0
0.0100,bernoulli-active,552,3.9755611419677734,1.0
0.0100,bernoulli-active,553,1.7643063068389893,1.0
0.0100,bernoulli-active,554,2.831510543823242,1.0
0.0100,bernoulli-active,555,1.3256536722183228,1.0
0.0100,bernoulli-active,556,1.9412598609924316,1.0
