dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.075,58,0.03170763701200485,0.9444193402620877
mmlu-pro,None,1.0,0.075,59,0.03160690516233444,0.9408043380027112
mmlu-pro,None,1.0,0.075,60,0.03175792470574379,0.9430637144148215
mmlu-pro,None,1.0,0.075,61,0.03158533200621605,0.9358337098960687
mmlu-pro,None,1.0,0.075,62,0.03171541541814804,0.9426118391323995
mmlu-pro,None,1.0,0.075,63,0.03172731772065163,0.9439674649796657
mmlu-pro,None,1.0,0.075,64,0.03206031396985054,0.9371893357433349
mmlu-pro,None,1.0,0.075,65,0.031688958406448364,0.9462268413917759
mmlu-pro,None,1.0,0.1,33,0.025855472311377525,0.938996836873023
mmlu-pro,None,1.0,0.1,34,0.025984883308410645,0.9480343425214641
mmlu-pro,None,1.0,0.1,35,0.025946052744984627,0.9421599638499775
mmlu-pro,None,1.0,0.1,36,0.026098523288965225,0.9435155896972436
mmlu-pro,None,1.0,0.1,37,0.02602292224764824,0.9417080885675554
mmlu-pro,None,1.0,0.1,38,0.025915617123246193,0.9412562132851333
mmlu-pro,None,1.0,0.1,39,0.02598533220589161,0.9462268413917759
mmlu-pro,None,1.0,0.1,40,0.02596319280564785,0.9367374604609128
mmlu-pro,None,1.0,0.1,41,0.02610389143228531,0.94713059195662
mmlu-pro,None,1.0,0.1,42,0.026043374091386795,0.9426118391323995
mmlu-pro,None,1.0,0.1,43,0.025955278426408768,0.9344780840488026
mmlu-pro,None,1.0,0.1,44,0.026043234393000603,0.9480343425214641
mmlu-pro,None,1.0,0.1,45,0.025968780741095543,0.9385449615906011
mmlu-pro,None,1.0,0.1,46,0.02592727169394493,0.946678716674198
mmlu-pro,None,1.0,0.1,47,0.02591363899409771,0.9493899683687302
mmlu-pro,None,1.0,0.1,48,0.025918016210198402,0.9408043380027112
mmlu-pro,None,1.0,0.1,49,0.02608915977180004,0.9521012200632626
mmlu-pro,None,1.0,0.1,50,0.026085393503308296,0.9493899683687302
mmlu-pro,None,1.0,0.1,51,0.026012299582362175,0.9426118391323995
mmlu-pro,None,1.0,0.1,52,0.025874199345707893,0.9353818346136467
mmlu-pro,None,1.0,0.1,53,0.025947770103812218,0.9444193402620877
mmlu-pro,None,1.0,0.1,54,0.02604554034769535,0.9299593312245821
mmlu-pro,None,1.0,0.1,55,0.026113850995898247,0.9376412110257569
mmlu-pro,None,1.0,0.1,56,0.02592584863305092,0.9335743334839585
mmlu-pro,None,1.0,0.1,57,0.02589508891105652,0.9399005874378672
mmlu-pro,None,1.0,0.1,58,0.02597874589264393,0.9462268413917759
mmlu-pro,None,1.0,0.1,59,0.025918135419487953,0.9430637144148215
mmlu-pro,None,1.0,0.1,60,0.026057200506329536,0.9484862178038862
mmlu-pro,None,1.0,0.1,61,0.025889882817864418,0.938093086308179
mmlu-pro,None,1.0,0.1,62,0.025985676795244217,0.9385449615906011
mmlu-pro,None,1.0,0.1,63,0.026014409959316254,0.9430637144148215
mmlu-pro,None,1.0,0.1,64,0.026250850409269333,0.9353818346136467
mmlu-pro,None,1.0,0.1,65,0.025979122146964073,0.9439674649796657
mmlu-pro,None,1.0,0.125,33,0.02210642583668232,0.9358337098960687
mmlu-pro,None,1.0,0.125,34,0.02219756320118904,0.9484862178038862
mmlu-pro,None,1.0,0.125,35,0.022155219689011574,0.9417080885675554
mmlu-pro,None,1.0,0.125,36,0.022271953523159027,0.9444193402620877
mmlu-pro,None,1.0,0.125,37,0.022243143990635872,0.9358337098960687
mmlu-pro,None,1.0,0.125,38,0.022149868309497833,0.9358337098960687
mmlu-pro,None,1.0,0.125,39,0.02222042717039585,0.946678716674198
mmlu-pro,None,1.0,0.125,40,0.022170618176460266,0.9394487121554451
mmlu-pro,None,1.0,0.125,41,0.022320719435811043,0.947582467239042
mmlu-pro,None,1.0,0.125,42,0.022244887426495552,0.9426118391323995
mmlu-pro,None,1.0,0.125,43,0.022182522341609,0.9394487121554451
mmlu-pro,None,1.0,0.125,44,0.02224266529083252,0.9457749661093539
mmlu-pro,None,1.0,0.125,45,0.022219836711883545,0.9376412110257569
mmlu-pro,None,1.0,0.125,46,0.022150056436657906,0.9462268413917759
mmlu-pro,None,1.0,0.125,47,0.02217770181596279,0.9511974694984184
mmlu-pro,None,1.0,0.125,48,0.022139687091112137,0.9439674649796657
mmlu-pro,None,1.0,0.125,49,0.02227196842432022,0.9457749661093539
mmlu-pro,None,1.0,0.125,50,0.022292735055088997,0.9484862178038862
mmlu-pro,None,1.0,0.125,51,0.022227535024285316,0.9367374604609128
mmlu-pro,None,1.0,0.125,52,0.022136975079774857,0.92950745594216
mmlu-pro,None,1.0,0.125,53,0.022173821926116943,0.9530049706281066
mmlu-pro,None,1.0,0.125,54,0.02225376106798649,0.9326705829191143
mmlu-pro,None,1.0,0.125,55,0.02231202833354473,0.9435155896972436
