dataset,prop_budget,seed,mean_width,coverage
mmlu-pro,0.325,23,0.013639562763273716,0.9480343425214641
mmlu-pro,0.325,24,0.01363988034427166,0.9548124717577949
mmlu-pro,0.325,25,0.013631986454129219,0.9521012200632626
mmlu-pro,0.325,26,0.013640502467751503,0.9484862178038862
mmlu-pro,0.325,27,0.013640020973980427,0.9457749661093539
mmlu-pro,0.325,28,0.013616115786135197,0.94713059195662
mmlu-pro,0.325,29,0.013647901825606823,0.9489380930863082
mmlu-pro,0.325,30,0.013635308481752872,0.9489380930863082
mmlu-pro,0.325,31,0.013622807338833809,0.9462268413917759
mmlu-pro,0.325,32,0.013668899424374104,0.94713059195662
mmlu-pro,0.35,0,0.013083997182548046,0.9502937189335744
mmlu-pro,0.35,1,0.013085247948765755,0.9521012200632626
mmlu-pro,0.35,2,0.0130701195448637,0.9493899683687302
mmlu-pro,0.35,3,0.013037764467298985,0.9462268413917759
mmlu-pro,0.35,4,0.013075688853859901,0.9570718481699051
mmlu-pro,0.35,5,0.01306852139532566,0.946678716674198
mmlu-pro,0.35,6,0.013093443587422371,0.9484862178038862
mmlu-pro,0.35,7,0.013046400621533394,0.9417080885675554
mmlu-pro,0.35,8,0.013056873343884945,0.946678716674198
mmlu-pro,0.35,9,0.013065151870250702,0.9457749661093539
mmlu-pro,0.35,10,0.013042377308011055,0.955716222322639
mmlu-pro,0.35,11,0.013057881966233253,0.9498418436511523
mmlu-pro,0.35,12,0.01308533176779747,0.9516493447808405
mmlu-pro,0.35,13,0.01306248176842928,0.9439674649796657
mmlu-pro,0.35,14,0.013092455454170704,0.9493899683687302
mmlu-pro,0.35,15,0.013079855591058731,0.9462268413917759
mmlu-pro,0.35,16,0.013045590370893478,0.9426118391323995
mmlu-pro,0.35,17,0.01309102401137352,0.9552643470402169
mmlu-pro,0.35,18,0.01306275837123394,0.9408043380027112
mmlu-pro,0.35,19,0.01308449637144804,0.9579755987347492
mmlu-pro,0.35,20,0.01308208517730236,0.955716222322639
