dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,0,0.01,0.375,8,0.021649500355124474,0.9534568459105287
mmlu-pro,0,0.01,0.375,9,0.0216451995074749,0.9539087211929508
mmlu-pro,0,0.01,0.375,10,0.021650006994605064,0.9525530953456847
mmlu-pro,0,0.01,0.375,11,0.021647663787007332,0.9498418436511523
mmlu-pro,0,0.01,0.375,12,0.021636061370372772,0.9439674649796657
mmlu-pro,0,0.01,0.375,13,0.021656179800629616,0.9534568459105287
mmlu-pro,0,0.01,0.375,14,0.021652817726135254,0.9453230908269318
mmlu-pro,0,0.01,0.375,15,0.021654896438121796,0.9521012200632626
mmlu-pro,0,0.01,0.375,16,0.021651003509759903,0.9588793492995934
mmlu-pro,0,0.01,0.375,17,0.021641205996274948,0.9521012200632626
mmlu-pro,0,0.01,0.375,18,0.02163862995803356,0.9566199728874831
mmlu-pro,0,0.01,0.375,19,0.021639155223965645,0.9453230908269318
mmlu-pro,0,0.01,0.375,20,0.021644795313477516,0.9539087211929508
mmlu-pro,0,0.01,0.375,21,0.02165795862674713,0.9534568459105287
mmlu-pro,0,0.01,0.375,22,0.021644629538059235,0.9548124717577949
mmlu-pro,0,0.01,0.375,23,0.021646354347467422,0.9516493447808405
mmlu-pro,0,0.01,0.375,24,0.02163921296596527,0.947582467239042
mmlu-pro,0,0.01,0.375,25,0.021648863330483437,0.9552643470402169
mmlu-pro,0,0.01,0.375,26,0.021639646962285042,0.9521012200632626
mmlu-pro,0,0.01,0.375,27,0.021648617461323738,0.9521012200632626
mmlu-pro,0,0.01,0.375,28,0.021648632362484932,0.947582467239042
mmlu-pro,0,0.01,0.375,29,0.021654842421412468,0.9534568459105287
mmlu-pro,0,0.01,0.375,30,0.021652670577168465,0.9534568459105287
mmlu-pro,0,0.01,0.375,31,0.021650126203894615,0.9489380930863082
mmlu-pro,0,0.01,0.375,32,0.02165326662361622,0.9507455942159965
mmlu-pro,0,0.01,0.4,0,0.020943250507116318,0.9489380930863082
mmlu-pro,0,0.01,0.4,1,0.020939981564879417,0.9502937189335744
mmlu-pro,0,0.01,0.4,2,0.02094324491918087,0.9462268413917759
mmlu-pro,0,0.01,0.4,3,0.02094162255525589,0.9521012200632626
mmlu-pro,0,0.01,0.4,4,0.020952574908733368,0.9539087211929508
mmlu-pro,0,0.01,0.4,5,0.020939156413078308,0.9521012200632626
mmlu-pro,0,0.01,0.4,6,0.02093680575489998,0.9448712155445097
mmlu-pro,0,0.01,0.4,7,0.020951207727193832,0.9439674649796657
mmlu-pro,0,0.01,0.4,8,0.02094454877078533,0.955716222322639
mmlu-pro,0,0.01,0.4,9,0.02093738503754139,0.9543605964753729
mmlu-pro,0,0.01,0.4,10,0.020944321528077126,0.9539087211929508
mmlu-pro,0,0.01,0.4,11,0.020941227674484253,0.9435155896972436
mmlu-pro,0,0.01,0.4,12,0.020929625257849693,0.9453230908269318
mmlu-pro,0,0.01,0.4,13,0.02095022052526474,0.9511974694984184
mmlu-pro,0,0.01,0.4,14,0.020944831892848015,0.9484862178038862
mmlu-pro,0,0.01,0.4,15,0.020948564633727074,0.9521012200632626
mmlu-pro,0,0.01,0.4,16,0.020942343398928642,0.9579755987347492
mmlu-pro,0,0.01,0.4,17,0.02093368209898472,0.9566199728874831
mmlu-pro,0,0.01,0.4,18,0.020934252068400383,0.9548124717577949
mmlu-pro,0,0.01,0.4,19,0.020932748913764954,0.9453230908269318
mmlu-pro,0,0.01,0.4,20,0.02093963883817196,0.9507455942159965
mmlu-pro,0,0.01,0.4,21,0.02095128409564495,0.9534568459105287
mmlu-pro,0,0.01,0.4,22,0.020935572683811188,0.9548124717577949
mmlu-pro,0,0.01,0.4,23,0.02094101905822754,0.9525530953456847
mmlu-pro,0,0.01,0.4,24,0.020931534469127655,0.9435155896972436
mmlu-pro,0,0.01,0.4,25,0.020941002294421196,0.9511974694984184
