dataset,n_full_obs,mcar_obs_prob,prop_budget,seed,mean_width,coverage
mmlu-pro,None,1.0,0.075,74,0.03187386319041252,0.9408043380027112
mmlu-pro,None,1.0,0.075,75,0.031640734523534775,0.938093086308179
mmlu-pro,None,1.0,0.075,76,0.031637419015169144,0.9426118391323995
mmlu-pro,None,1.0,0.075,77,0.03166260942816734,0.9439674649796657
mmlu-pro,None,1.0,0.075,78,0.03158313408493996,0.9385449615906011
mmlu-pro,None,1.0,0.075,79,0.03153764456510544,0.9484862178038862
mmlu-pro,None,1.0,0.075,80,0.03171848505735397,0.938996836873023
mmlu-pro,None,1.0,0.075,81,0.031516190618276596,0.9480343425214641
mmlu-pro,None,1.0,0.075,82,0.031679701060056686,0.9502937189335744
mmlu-pro,None,1.0,0.075,83,0.03180839121341705,0.9417080885675554
mmlu-pro,None,1.0,0.075,84,0.03162243962287903,0.9385449615906011
mmlu-pro,None,1.0,0.075,85,0.03158945217728615,0.9507455942159965
mmlu-pro,None,1.0,0.075,86,0.03174697607755661,0.9358337098960687
mmlu-pro,None,1.0,0.075,87,0.03169499710202217,0.9457749661093539
mmlu-pro,None,1.0,0.075,88,0.031713467091321945,0.9453230908269318
mmlu-pro,None,1.0,0.075,89,0.03165904060006142,0.947582467239042
mmlu-pro,None,1.0,0.075,90,0.03166992962360382,0.9403524627202893
mmlu-pro,None,1.0,0.075,91,0.031650904566049576,0.9435155896972436
mmlu-pro,None,1.0,0.075,92,0.03169219568371773,0.9484862178038862
mmlu-pro,None,1.0,0.075,93,0.03171812742948532,0.9426118391323995
mmlu-pro,None,1.0,0.075,94,0.03175513446331024,0.9399005874378672
mmlu-pro,None,1.0,0.075,95,0.031791359186172485,0.9484862178038862
mmlu-pro,None,1.0,0.075,96,0.03175445273518562,0.9308630817894261
mmlu-pro,None,1.0,0.075,97,0.0318448431789875,0.9399005874378672
mmlu-pro,None,1.0,0.075,98,0.03172287717461586,0.9412562132851333
mmlu-pro,None,1.0,0.075,99,0.03168192133307457,0.946678716674198
mmlu-pro,None,1.0,0.1,66,0.025953175500035286,0.9362855851784908
mmlu-pro,None,1.0,0.1,67,0.025919931009411812,0.947582467239042
mmlu-pro,None,1.0,0.1,68,0.026112958788871765,0.9439674649796657
mmlu-pro,None,1.0,0.1,69,0.025823766365647316,0.9426118391323995
mmlu-pro,None,1.0,0.1,70,0.025933997705578804,0.9435155896972436
mmlu-pro,None,1.0,0.1,71,0.025856412947177887,0.9453230908269318
mmlu-pro,None,1.0,0.1,72,0.026108669117093086,0.9412562132851333
mmlu-pro,None,1.0,0.1,73,0.026091817766427994,0.9534568459105287
mmlu-pro,None,1.0,0.1,74,0.02614213339984417,0.9430637144148215
mmlu-pro,None,1.0,0.1,75,0.025941722095012665,0.9421599638499775
mmlu-pro,None,1.0,0.1,76,0.025947388261556625,0.9435155896972436
mmlu-pro,None,1.0,0.1,77,0.025963280349969864,0.9426118391323995
mmlu-pro,None,1.0,0.1,78,0.02591344155371189,0.9435155896972436
mmlu-pro,None,1.0,0.1,79,0.025885293260216713,0.9489380930863082
mmlu-pro,None,1.0,0.1,80,0.025976551696658134,0.9371893357433349
mmlu-pro,None,1.0,0.1,81,0.025853469967842102,0.9408043380027112
mmlu-pro,None,1.0,0.1,82,0.025963732972741127,0.9498418436511523
mmlu-pro,None,1.0,0.1,83,0.02604384906589985,0.9426118391323995
mmlu-pro,None,1.0,0.1,84,0.025923416018486023,0.9453230908269318
mmlu-pro,None,1.0,0.1,85,0.025924423709511757,0.9439674649796657
mmlu-pro,None,1.0,0.1,86,0.02600528486073017,0.9399005874378672
mmlu-pro,None,1.0,0.1,87,0.025978339836001396,0.9421599638499775
mmlu-pro,None,1.0,0.1,88,0.02599712833762169,0.9457749661093539
mmlu-pro,None,1.0,0.1,89,0.025952722877264023,0.9498418436511523
mmlu-pro,None,1.0,0.1,90,0.025962669402360916,0.938093086308179
mmlu-pro,None,1.0,0.1,91,0.025928057730197906,0.9511974694984184
mmlu-pro,None,1.0,0.1,92,0.025994183495640755,0.9566199728874831
mmlu-pro,None,1.0,0.1,93,0.025999613106250763,0.9530049706281066
mmlu-pro,None,1.0,0.1,94,0.0260150283575058,0.9417080885675554
mmlu-pro,None,1.0,0.1,95,0.02606552466750145,0.9498418436511523
mmlu-pro,None,1.0,0.1,96,0.026030996814370155,0.9408043380027112
mmlu-pro,None,1.0,0.1,97,0.026097496971488,0.9317668323542703
mmlu-pro,None,1.0,0.1,98,0.026013167575001717,0.9444193402620877
mmlu-pro,None,1.0,0.1,99,0.025954391807317734,0.9457749661093539
mmlu-pro,None,1.0,0.125,66,0.02217729762196541,0.9362855851784908
mmlu-pro,None,1.0,0.125,67,0.02216603420674801,0.9417080885675554
mmlu-pro,None,1.0,0.125,68,0.02230503223836422,0.9394487121554451
mmlu-pro,None,1.0,0.125,69,0.02208702452480793,0.9457749661093539
mmlu-pro,None,1.0,0.125,70,0.022175943478941917,0.9385449615906011
mmlu-pro,None,1.0,0.125,71,0.022099284455180168,0.9403524627202893
mmlu-pro,None,1.0,0.125,72,0.02230287902057171,0.9453230908269318
mmlu-pro,None,1.0,0.125,73,0.022298848256468773,0.947582467239042
mmlu-pro,None,1.0,0.125,74,0.022365640848875046,0.938996836873023
mmlu-pro,None,1.0,0.125,75,0.022192709147930145,0.9376412110257569
mmlu-pro,None,1.0,0.125,76,0.022166386246681213,0.9412562132851333
mmlu-pro,None,1.0,0.125,77,0.022195380181074142,0.9439674649796657
mmlu-pro,None,1.0,0.125,78,0.022150162607431412,0.9417080885675554
mmlu-pro,None,1.0,0.125,79,0.02213037945330143,0.9417080885675554
mmlu-pro,None,1.0,0.125,80,0.02217777445912361,0.9349299593312246
mmlu-pro,None,1.0,0.125,81,0.022102592512965202,0.9412562132851333
mmlu-pro,None,1.0,0.125,82,0.022212397307157516,0.9484862178038862
mmlu-pro,None,1.0,0.125,83,0.022266732528805733,0.9480343425214641
mmlu-pro,None,1.0,0.125,84,0.022155839949846268,0.9408043380027112
mmlu-pro,None,1.0,0.125,85,0.022152921184897423,0.9426118391323995
mmlu-pro,None,1.0,0.125,86,0.022225677967071533,0.9439674649796657
mmlu-pro,None,1.0,0.125,87,0.022178763523697853,0.9426118391323995
mmlu-pro,None,1.0,0.125,88,0.02221454121172428,0.9453230908269318
mmlu-pro,None,1.0,0.125,89,0.02216395176947117,0.9448712155445097
mmlu-pro,None,1.0,0.125,90,0.022182509303092957,0.938093086308179
mmlu-pro,None,1.0,0.125,91,0.022152386605739594,0.9489380930863082
mmlu-pro,None,1.0,0.125,92,0.02221631072461605,0.9525530953456847
mmlu-pro,None,1.0,0.125,93,0.0222109816968441,0.9448712155445097
mmlu-pro,None,1.0,0.125,94,0.02222808636724949,0.9448712155445097
mmlu-pro,None,1.0,0.125,95,0.022242391481995583,0.9493899683687302
mmlu-pro,None,1.0,0.125,96,0.022234413772821426,0.9394487121554451
mmlu-pro,None,1.0,0.125,97,0.022308334708213806,0.9344780840488026
mmlu-pro,None,1.0,0.125,98,0.022225189954042435,0.9430637144148215
mmlu-pro,None,1.0,0.125,99,0.022173894569277763,0.946678716674198
mmlu-pro,None,1.0,0.15,66,0.019451411440968513,0.9408043380027112
mmlu-pro,None,1.0,0.15,67,0.019447654485702515,0.9417080885675554
mmlu-pro,None,1.0,0.15,68,0.019560368731617928,0.9376412110257569
mmlu-pro,None,1.0,0.15,69,0.019380392506718636,0.9448712155445097
mmlu-pro,None,1.0,0.15,70,0.01944555900990963,0.9435155896972436
mmlu-pro,None,1.0,0.15,71,0.019383365288376808,0.9367374604609128
mmlu-pro,None,1.0,0.15,72,0.019544225186109543,0.9412562132851333
mmlu-pro,None,1.0,0.15,73,0.019542720168828964,0.9457749661093539
mmlu-pro,None,1.0,0.15,74,0.019594760611653328,0.9349299593312246
mmlu-pro,None,1.0,0.15,75,0.01945526711642742,0.9353818346136467
mmlu-pro,None,1.0,0.15,76,0.019443923607468605,0.9362855851784908
